type,features
FeatureCollection,"{'type': 'Feature', 'id': 'relation/6741305', 'properties': {'addr:housenumber': '55', 'addr:postcode': '6317', 'addr:street': 'Widenstrasse', 'amenity': 'clinic', 'name': 'Psychiatrische Klinik Zugersee', 'phone': '+41417263300', 'type': 'multipolygon', 'website': 'http://www.pkzs.ch/', 'id': 'relation/6741305'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5121217, 47.144707], [8.5120344, 47.1446411], [8.5119052, 47.1445999], [8.5116711, 47.1444247], [8.5114757, 47.1441831], [8.5114722, 47.1441504], [8.5115363, 47.1441022], [8.5115479, 47.1440616], [8.5114144, 47.1437838], [8.5114202, 47.1437189], [8.5115452, 47.1435984], [8.5118124, 47.1434359], [8.5118957, 47.1433853], [8.5119553, 47.143347], [8.512285, 47.1431354], [8.5123497, 47.1431407], [8.5124761, 47.1432419], [8.5123094, 47.1433129], [8.5122519, 47.1433749], [8.5122399, 47.1434425], [8.5122559, 47.1434862], [8.512264, 47.1435045], [8.5123291, 47.1436833], [8.5123318, 47.1437758], [8.5124015, 47.1439191], [8.512938, 47.1442039], [8.5135173, 47.1445254], [8.5135482, 47.1445824], [8.5135951, 47.1447031], [8.5135002, 47.1448086], [8.5132707, 47.1449047], [8.5130895, 47.1448226], [8.5128252, 47.1448046], [8.5126925, 47.1448788], [8.5123125, 47.1450149], [8.5123052, 47.1449872], [8.5122179, 47.1448075], [8.5121217, 47.144707]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'relation/8487386', 'properties': {'addr:city': 'Zürich', 'addr:country': 'CH', 'addr:housenumber': '75', 'addr:postcode': '8032', 'addr:street': 'Steinwiesstrasse', 'amenity': 'hospital', 'description': 'Specialized on hospitalized children.', 'email': 'info@kispi.uzh.ch', 'emergency': 'yes', 'healthcare': 'hospital', 'healthcare:speciality': 'intensive', 'name': 'Kinderspital Zürich', 'operator': 'Eleonorenstiftung', 'phone': '+41 44 266 71 11', 'short_name': 'Kispi ZH', 'type': 'multipolygon', 'website': 'https://www.kispi.uzh.ch/', 'wikidata': 'Q1374004', 'id': 'relation/8487386'}, 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[8.559065799999999, 47.37141], [8.5592495, 47.3708205], [8.5597591, 47.3709105], [8.5597967, 47.3709205], [8.5600407, 47.3709541], [8.5603157, 47.3709777], [8.5603532, 47.3709831], [8.5603707, 47.3710013], [8.5603935, 47.3711012], [8.5603948, 47.3711321], [8.5603827, 47.371172], [8.5603586, 47.3712429], [8.5603251, 47.3713037], [8.5602929, 47.3713582], [8.5602392, 47.3714145], [8.5601802, 47.3714718], [8.5599871, 47.3716271], [8.5595754, 47.3713819], [8.5594198, 47.3714618], [8.559065799999999, 47.37141]]], [[[8.5563232, 47.3721718], [8.556822, 47.3716257], [8.5568598, 47.3716064], [8.5569068, 47.3715915], [8.5569781, 47.3715814], [8.557499, 47.3715342], [8.5577959, 47.3715151], [8.5579235, 47.3715209], [8.558012, 47.3715342], [8.5581029, 47.3715597], [8.5586027, 47.3717724], [8.5587335, 47.3718292], [8.5587766, 47.371861], [8.5588047, 47.371896], [8.5588173, 47.3719379], [8.5588157, 47.3719761], [8.5587993, 47.3720334], [8.5587311, 47.3722498], [8.5587546, 47.3722732], [8.5585666, 47.3728731], [8.558547, 47.3728944], [8.5585181, 47.372905], [8.5584617, 47.3729055], [8.5583074, 47.3729055], [8.5581421, 47.3729294], [8.557976, 47.372984], [8.5579251, 47.3730111], [8.5577191, 47.3727787], [8.5573627, 47.3726556], [8.5571355, 47.3725713], [8.556911, 47.3724679], [8.5567822, 47.3725794], [8.556626, 47.372506], [8.5565592, 47.372567599999996], [8.5561502, 47.3723637], [8.5563232, 47.3721718]]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'relation/9056474', 'properties': {'amenity': 'clinic', 'building': 'yes', 'contact:phone': '+41 316322111', 'contact:website': 'http://www.kinderkliniken.insel.ch/', 'emergency': 'yes', 'healthcare': 'clinic', 'healthcare:speciality': 'paediatrics', 'name': 'Kinderkliniken Inselspital', 'operator': 'Insel Gruppe AG', 'type': 'multipolygon', 'wikidata': 'Q30254034', 'id': 'relation/9056474'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[7.4255516, 46.946734], [7.4257911, 46.9465526], [7.4258703, 46.9466017], [7.4259303, 46.9465564], [7.4259737, 46.9465834], [7.4260099, 46.9466058], [7.4260689, 46.9465613], [7.4261552, 46.9466148], [7.4260961, 46.9466594], [7.4261687, 46.9467047], [7.4262891, 46.946614], [7.4263682, 46.9466636], [7.4264284, 46.9466182], [7.426594, 46.9467205], [7.4264742, 46.9468107], [7.4265535, 46.94686], [7.4264182, 46.9469624], [7.4263731, 46.9469965], [7.4264524, 46.9470457], [7.4264403, 46.947055], [7.4264935, 46.9470878], [7.4264673, 46.9471376], [7.4263922, 46.9470913], [7.4263347, 46.9471348], [7.4262945, 46.9471652], [7.4263619, 46.9472071], [7.426318, 46.9472469], [7.4262457, 46.947202], [7.4262219, 46.94722], [7.426147, 46.9472767], [7.4260538, 46.9472189], [7.4258941, 46.9471198], [7.4257887, 46.9470542], [7.4257427, 46.947026], [7.4258035, 46.9469805], [7.4257302, 46.9469357], [7.4255502, 46.9470714], [7.4254642, 46.947018], [7.4255239, 46.9469727], [7.4254512, 46.9469276], [7.4253914, 46.9469728], [7.4251964, 46.9468519], [7.4251533, 46.9468252], [7.4250931, 46.9468703], [7.4249025, 46.9467517], [7.4248866, 46.9467637], [7.4248326, 46.9467305], [7.4251544, 46.9464872], [7.4253249, 46.9465941], [7.4253995, 46.9466395], [7.4253394, 46.9466849], [7.4254118, 46.9467298], [7.4254718, 46.9466845], [7.4255516, 46.946734]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'relation/9458117', 'properties': {'addr:city': 'Lausanne', 'addr:country': 'CH', 'addr:housenumber': '46', 'addr:postcode': '1011', 'addr:street': 'Rue du Bugnon', 'amenity': 'hospital', 'healthcare': 'hospital', 'healthcare:speciality': 'intensive', 'name': 'Bâtiment hospitalier', 'operator': 'CHUV', 'ref': 'BH', 'type': 'multipolygon', 'website': 'https://www.chuv.ch/', 'wikidata': 'Q2945783', 'wikipedia': 'fr:Centre hospitalier universitaire vaudois', 'id': 'relation/9458117'}, 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[6.6458849, 46.5284726], [6.6455675, 46.528029], [6.6463401, 46.5277464], [6.6467874, 46.5281542], [6.6458849, 46.5284726]]], [[[6.6390121, 46.5225802], [6.6395776, 46.5225746], [6.6396931, 46.5225916], [6.6398117, 46.5226381], [6.6408092, 46.5225758], [6.6408614, 46.5233839], [6.6405102, 46.5239221], [6.6408062999999995, 46.5239918], [6.6425551, 46.5241666], [6.6428022, 46.5241424], [6.6430251, 46.5241274], [6.6433765000000005, 46.5240697], [6.6442742, 46.5238244], [6.6449167, 46.5236625], [6.6450449, 46.5236302], [6.6452084, 46.5235859], [6.6452626, 46.5235849], [6.6453057, 46.5236055], [6.6453281, 46.5236329], [6.6453103, 46.5237297], [6.6453069, 46.5237478], [6.6452813, 46.5238875], [6.6452778, 46.5242089], [6.6452767999999995, 46.5242901], [6.6452766, 46.5243071], [6.6452778, 46.5243712], [6.6452857, 46.5244951], [6.6452896, 46.5245503], [6.645281, 46.5247833], [6.6452103000000005, 46.5251055], [6.6452056, 46.5251178], [6.6451832, 46.5251752], [6.6451852, 46.5252265], [6.6449712, 46.5257894], [6.6449482, 46.525876], [6.6449181, 46.5259892], [6.6448965, 46.5261585], [6.6448988, 46.5263267], [6.6449014, 46.5263915], [6.6449022, 46.5264131], [6.6448964, 46.5264965], [6.6451171, 46.5266068], [6.6454759, 46.526567], [6.6455668, 46.5265926], [6.645634, 46.526755], [6.6452964, 46.526797], [6.6454636, 46.5270545], [6.645136, 46.5271713], [6.6449902, 46.5271977], [6.6450073, 46.5273236], [6.64501, 46.5273433], [6.6450363, 46.5275221], [6.6445688, 46.5275482], [6.6441516, 46.5276183], [6.6440301999999996, 46.5276671], [6.6439739, 46.5276045], [6.6438295, 46.5274172], [6.6437416, 46.5273277], [6.6430967, 46.5271914], [6.642734, 46.527363199999996], [6.6426916, 46.5273855], [6.6427324, 46.5274223], [6.6429577, 46.5276294], [6.6421045, 46.5281108], [6.6420601, 46.528065], [6.6418606, 46.5277943], [6.641747, 46.5275551], [6.6417038, 46.5274641], [6.6416605, 46.5273765], [6.6416073, 46.5272363], [6.641581, 46.5271621], [6.6415119, 46.5270175], [6.6407724, 46.5270785], [6.6407175, 46.5268061], [6.6410456, 46.5267592], [6.6410073, 46.5266001], [6.6408567, 46.5266377], [6.6404246, 46.5262471], [6.6403431, 46.5262455], [6.6403327, 46.5262043], [6.6402912, 46.5262092], [6.6391179000000005, 46.5252202], [6.6387419, 46.5249536], [6.638676, 46.5246792], [6.6384418, 46.5246289], [6.6383092999999995, 46.5246004], [6.6381699, 46.5245639], [6.638085, 46.5245483], [6.6379178, 46.5245143], [6.6381415, 46.524117], [6.6383106, 46.5241582], [6.6383789, 46.5241749], [6.6384047, 46.5241812], [6.6384524, 46.5241928], [6.638659, 46.5242389], [6.6387216, 46.5242545], [6.6388824, 46.5240583], [6.6391184, 46.5239805], [6.6392526, 46.5239948], [6.6393273, 46.5239432], [6.6394035, 46.5237022], [6.6394824, 46.5236125], [6.6394483, 46.523541], [6.6394357, 46.5234386], [6.6394172000000005, 46.5232977], [6.6393537, 46.5232609], [6.6391146, 46.523273], [6.6390744999999995, 46.5230781], [6.6389508, 46.5230533], [6.6388744, 46.5229595], [6.638846, 46.5228566], [6.6388826, 46.5227841], [6.6388911, 46.5226827], [6.6390231, 46.5226587], [6.6390153, 46.5226218], [6.6390121, 46.5225802]]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'relation/9500251', 'properties': {'addr:city': 'St-Aubin-Sauges', 'addr:country': 'CH', 'addr:housenumber': '15', 'addr:postcode': '2024', 'addr:street': ""Rue de l'Hôpital"", 'amenity': 'hospital', 'name': 'Hôpital de la Béroche', 'phone': '+41 32 836 42 42', 'type': 'multipolygon', 'id': 'relation/9500251'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[6.7699598, 46.8921174], [6.7708928, 46.8927132], [6.771367, 46.893016], [6.7713026, 46.8931245], [6.7715048, 46.8932706], [6.7714507, 46.8933697], [6.7696394, 46.8923404], [6.7699598, 46.8921174]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'relation/9638646', 'properties': {'addr:city': 'Unterseen', 'addr:housenumber': '27', 'addr:postcode': '3800', 'addr:street': 'Weissenaustrasse', 'amenity': 'hospital', 'email': 'info@spitalfmi.ch', 'emergency': 'yes', 'healthcare': 'hospital', 'healthcare:speciality': 'intensive', 'name': 'Regionalspital Interlaken', 'operator': 'FMI', 'phone': '+41 33 826 26 26', 'type': 'multipolygon', 'website': 'https://www.spitalfmi.ch/index.php?id=2217', 'wheelchair': 'yes', 'wikidata': 'Q2311218', 'wikipedia': 'de:Spital Interlaken', 'id': 'relation/9638646'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[7.844104, 46.6817897], [7.8437461, 46.6816611], [7.8437114, 46.6816487], [7.8436661999999995, 46.681702], [7.8436468999999995, 46.681738], [7.8436432, 46.6817713], [7.8436053, 46.6817769], [7.8435623, 46.6817896], [7.8432835999999995, 46.6819282], [7.8432513, 46.6819526], [7.843213, 46.6819172], [7.8428519, 46.6815938], [7.8428912, 46.6815365], [7.8431636000000005, 46.6817784], [7.843182, 46.68179], [7.8432200000000005, 46.6818088], [7.8432566999999995, 46.6818168], [7.8433155, 46.6818184], [7.8433573, 46.6818101], [7.8434055, 46.6817915], [7.8434393, 46.6817648], [7.8438296, 46.681347], [7.8431857, 46.6810704], [7.8427758, 46.6815254], [7.8426675, 46.6814284], [7.8425781, 46.6813482], [7.842574, 46.6813446], [7.8425136, 46.6812918], [7.8424445, 46.6812312], [7.8423861, 46.6811799], [7.8423283999999995, 46.6811293], [7.842281, 46.6810877], [7.8420793, 46.6809109], [7.841995, 46.6808358], [7.8419694, 46.6808131], [7.8418487, 46.6807057], [7.8416571, 46.6805352], [7.8415884, 46.6804745], [7.8415786, 46.6804659], [7.841374, 46.6802852], [7.8413383, 46.6802537], [7.8413153, 46.6802334], [7.8413374000000005, 46.6802041], [7.841835, 46.6793865], [7.8424561, 46.6787363], [7.8424821, 46.6787406], [7.8425122, 46.6787447], [7.8426614, 46.6787658], [7.8428132, 46.6787904], [7.8430148, 46.6788347], [7.8431798, 46.6788836], [7.8432257, 46.6789023], [7.8432979, 46.6789389], [7.8434095, 46.6790051], [7.8436459, 46.6791626], [7.843705, 46.6792046], [7.8438983, 46.6793596], [7.8440259, 46.679468], [7.8442444, 46.6796714], [7.8442796, 46.6796908], [7.8442812, 46.679701], [7.8442874, 46.6797154], [7.8442932, 46.6797288], [7.8443209, 46.6797629], [7.8443578, 46.6797978], [7.8444024, 46.679831899999996], [7.8444602, 46.6798694], [7.8446361, 46.6799714], [7.8447058, 46.6800242], [7.8449731, 46.6802555], [7.8452163, 46.6804659], [7.8454335, 46.6806611], [7.8450751, 46.6810096], [7.8449195, 46.680938], [7.844104, 46.6817897]], [[7.8444655, 46.6811335], [7.844576, 46.6811851], [7.8447226, 46.6810352], [7.8448718, 46.6808908], [7.8447645, 46.6808358], [7.8444655, 46.6811335]], [[7.8426639, 46.6789232], [7.8427095, 46.678905], [7.8426645, 46.6788332], [7.8425822, 46.6788443], [7.8426421, 46.6789022], [7.8426639, 46.6789232]], [[7.8419803, 46.6794473], [7.8421073, 46.6794784], [7.8421502, 46.6794004], [7.8420527, 46.6793795], [7.8420201, 46.6793725], [7.8419803, 46.6794473]], [[7.8423718000000004, 46.6795404], [7.8429571, 46.6796841], [7.8430019, 46.6796085], [7.8424123, 46.679463], [7.8423718000000004, 46.6795404]], [[7.8443725, 46.6801999], [7.8443725, 46.68019], [7.8443636, 46.6801464], [7.8443472, 46.6801325], [7.8443302, 46.6801254], [7.8442968, 46.6801233], [7.844276, 46.680131], [7.8442597, 46.6801454], [7.844254, 46.6801652], [7.8442653, 46.6801881], [7.8442941, 46.6802047], [7.8443262, 46.6802095], [7.8443725, 46.6801999]], [[7.8446701, 46.6806094], [7.844777, 46.6804966], [7.8446113, 46.6804227], [7.8445211, 46.6805177], [7.8445043, 46.6805354], [7.8446558, 46.680603], [7.8446701, 46.6806094]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'relation/13372764', 'properties': {'addr:city': 'Sion', 'addr:postcode': '1951', 'addr:street': 'Avenue du Grand-Champsec', 'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'name': 'Hôpital de Sion', 'toilets:wheelchair': 'yes', 'type': 'multipolygon', 'website': 'https://www.hopitalduvalais.ch/fr/lhopital-du-valais/sites/sion.html', 'wheelchair': 'yes', 'wikidata': 'Q3145292', 'id': 'relation/13372764'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[7.3839253, 46.2342461], [7.3840725, 46.2337943], [7.3852865, 46.2332473], [7.3864557, 46.2331205], [7.3874675, 46.2332786], [7.3881632, 46.2333643], [7.3888252, 46.2338125], [7.3891177, 46.2340105], [7.3893276, 46.2346386], [7.3895971, 46.2346844], [7.3898467, 46.235265], [7.3898427, 46.2365665], [7.3893753, 46.2365756], [7.3893623999999996, 46.2365854], [7.3884098, 46.2373111], [7.3880461, 46.2375594], [7.3879507, 46.2375156], [7.3870166, 46.2370872], [7.3866502, 46.2369031], [7.3862034, 46.2366787], [7.3842501, 46.2355502], [7.3847998, 46.2351122], [7.3844375, 46.2347664], [7.3839253, 46.2342461]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'relation/13605669', 'properties': {'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'name': 'AndreasKlinik Cham Zug', 'phone': '+41 41 784 07 84', 'type': 'multipolygon', 'website': 'http://www.andreasklinik.ch/', 'wheelchair': 'yes', 'wikidata': 'Q23783969', 'wikipedia': 'de:AndreasKlinik', 'id': 'relation/13605669'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.4560545, 47.1812227], [8.4560971, 47.1812273], [8.455958, 47.1815691], [8.4553449, 47.181451], [8.4552598, 47.1814823], [8.455216, 47.1815226], [8.4551025, 47.1817114], [8.4549284, 47.1818728], [8.4548946, 47.1819134], [8.4545061, 47.1820206], [8.4544628, 47.1819671], [8.4544393, 47.1818833], [8.4543909, 47.1817661], [8.4543844, 47.1817254], [8.4543981, 47.1816664], [8.4544395, 47.1815704], [8.454579, 47.1813596], [8.4547049, 47.1811521], [8.4548001, 47.1810098], [8.4548672, 47.1809421], [8.4550518, 47.18074], [8.4551235, 47.1806593], [8.4554541, 47.1806708], [8.4555746, 47.1806954], [8.4562249, 47.1808246], [8.4560545, 47.1812227]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/22918627', 'properties': {'addr:housenumber': '67', 'addr:postcode': '4900', 'addr:street': 'St. Urbanstrasse', 'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'healthcare:speciality': 'intensive', 'name': 'SRO Spital Oberaargau Langenthal', 'operator': 'SRO AG, Langenthal', 'phone': '+41 62 916 3131', 'toilets:wheelchair': 'yes', 'website': 'https://www.sro.ch/', 'wheelchair': 'yes', 'id': 'way/22918627'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[7.7942092, 47.2148149], [7.7944699, 47.215153], [7.7945931999999996, 47.2153415], [7.7947368, 47.2155948], [7.794884, 47.2159478], [7.7952383, 47.2168427], [7.7952129, 47.2169092], [7.7951436, 47.2169424], [7.7944546, 47.2169987], [7.7940273, 47.2169912], [7.7937059, 47.2169485], [7.7935445, 47.2169183], [7.7924041, 47.2166624], [7.7920753, 47.2152721], [7.793169, 47.2151812], [7.7942092, 47.2148149]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/23003999', 'properties': {'amenity': 'hospital', 'name': 'Spital SRO Langzeitpflege Panoramapark', 'source': 'knowledge', 'id': 'way/23003999'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[7.7177372, 47.1923976], [7.717757, 47.1923092], [7.7179405, 47.1915494], [7.7179421, 47.1914715], [7.7194008, 47.1918214], [7.7202224, 47.1919641], [7.7201136, 47.1923099], [7.7200346, 47.1924411], [7.7195744, 47.192372399999996], [7.7195523, 47.1923067], [7.7193801, 47.1923574], [7.719099, 47.1927823], [7.7188242, 47.1932461], [7.7185075, 47.1931586], [7.7186922, 47.1931035], [7.718744, 47.1929994], [7.7188273, 47.1927224], [7.718307, 47.1926199], [7.7182282, 47.192528], [7.7177372, 47.1923976]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/23793421', 'properties': {'addr:city': 'Männedorf', 'addr:country': 'CH', 'addr:housenumber': '120', 'addr:postcode': '8708', 'addr:street': 'Bergstrasse', 'amenity': 'clinic', 'building': 'yes', 'name': 'Kinderstation Brüschhalde', 'operator': 'Klinik für Kinder- und Jugendpsychiatrie und Psychotherapie', 'id': 'way/23793421'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7030134, 47.253339], [8.703154, 47.2532701], [8.7031651, 47.2532789], [8.7033129, 47.25321], [8.7034343, 47.253326799999996], [8.7033319, 47.2533746], [8.7033069, 47.2533476], [8.7032776, 47.2533619], [8.7032776, 47.2533746], [8.7032372, 47.2533926], [8.70322, 47.2533899], [8.7031907, 47.253404], [8.703196, 47.2534097], [8.7031228, 47.2534442], [8.7030134, 47.253339]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/28384336', 'properties': {'addr:city': 'Lugano', 'addr:postcode': '6900', 'addr:street': 'Via Capelli', 'amenity': 'hospital', 'emergency': 'yes', 'name': 'Ospedale Regionale di Lugano', 'opening_hours': '07:00-23:00', 'phone': '+41 91 811 61 11', 'toilets:wheelchair': 'yes', 'website': 'https://www.eoc.ch/Ospedali-e-Istituti/Ospedale-Regionale-di-Lugano/Civico-e-Italiano/Presentazione.html', 'wheelchair': 'yes', 'id': 'way/28384336'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.9600934, 46.0105284], [8.9600677, 46.0103257], [8.9601384, 46.0098285], [8.9602328, 46.0094232], [8.9603272, 46.0091609], [8.9607382, 46.0091878], [8.9606462, 46.010028], [8.960721, 46.0101655], [8.9605837, 46.0105649], [8.9600934, 46.0105284]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/28530564', 'properties': {'addr:city': 'Wetzikon', 'addr:housenumber': '48', 'addr:postcode': '8620', 'addr:street': 'Spitalstrasse', 'amenity': 'hospital', 'healthcare': 'hospital', 'healthcare:speciality': 'intensive', 'name': 'GZO Spital Wetzikon', 'toilets:wheelchair': 'yes', 'website': 'https://www.gzo.ch/', 'wheelchair': 'yes', 'wikidata': 'Q33121500', 'id': 'way/28530564'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7993495, 47.3218401], [8.7995529, 47.3216945], [8.7998943, 47.3214232], [8.8000142, 47.3212997], [8.8004292, 47.3208721], [8.8006758, 47.3205219], [8.8008073, 47.3205538], [8.8009665, 47.3205486], [8.8012082, 47.3204821], [8.8014328, 47.320448], [8.8017333, 47.3204429], [8.8017695, 47.3204464], [8.8020614, 47.3204837], [8.8022985, 47.3205308], [8.8026932, 47.3206538], [8.8027494, 47.3206954], [8.8028185, 47.3207517], [8.8031563, 47.3209014], [8.8034534, 47.321037], [8.8033994, 47.3211561], [8.8031869, 47.3216248], [8.8030243, 47.3219988], [8.802989, 47.3220801], [8.8029167, 47.3222464], [8.8028536, 47.3223916], [8.8028128, 47.3224854], [8.8025612, 47.3224533], [8.8020884, 47.3223468], [8.8017414, 47.3222819], [8.8016046, 47.32226], [8.8015085, 47.3222487], [8.8011326, 47.3221989], [8.8009737, 47.3221897], [8.8005823, 47.3221671], [8.8003857, 47.3221589], [8.8001503, 47.3221264], [8.7999387, 47.3220768], [8.7997472, 47.322019], [8.7994893, 47.3219062], [8.7993495, 47.3218401]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/33621431', 'properties': {'addr:city': 'Lugano', 'addr:housenumber': '46', 'addr:postcode': '6900', 'addr:street': 'Via Tesserete', 'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'healthcare:speciality': 'intensive', 'name': 'Ospedale Civico', 'phone': '+41 91 811 61 11', 'toilets:wheelchair': 'yes', 'website': 'https://www.eoc.ch/Ospedali-e-Istituti/Ospedale-Regionale-di-Lugano/Civico-e-Italiano/Presentazione.html', 'wheelchair': 'yes', 'id': 'way/33621431'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.9534676, 46.0191393], [8.9529808, 46.0188719], [8.9522108, 46.0184686], [8.9522485, 46.018366], [8.9521605, 46.0183013], [8.9520313, 46.0183159], [8.9519485, 46.0182355], [8.9514763, 46.0173784], [8.9512033, 46.0169214], [8.9510525, 46.0166215], [8.9509942, 46.0162698], [8.952375, 46.0169995], [8.9532542, 46.0175712], [8.9545654, 46.0186155], [8.9542047, 46.0187876], [8.9534676, 46.0191393]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/34325778', 'properties': {'addr:city': 'Burgdorf', 'addr:country': 'CH', 'addr:housenumber': '54', 'addr:postcode': '3400', 'addr:street': 'Oberburgstrasse', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Regionalspital Emmental', 'operator': 'Regionalspital Emmental AG', 'phone': '+41 34 421 21 21', 'website': 'https://www.spital-emmental.ch', 'wheelchair': 'yes', 'id': 'way/34325778'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[7.6212877, 47.0493043], [7.6199782, 47.0489245], [7.6199514, 47.0488447], [7.6195851, 47.0487391], [7.6191802, 47.0486224], [7.6199546, 47.0474539], [7.6199949, 47.0474173], [7.6200794, 47.04741], [7.6209149, 47.0476111], [7.6220029, 47.0477674], [7.6220847, 47.0478621], [7.6221098, 47.0481265], [7.6219046, 47.0485879], [7.6212877, 47.0493043]]]}}"
