type,features
FeatureCollection,"{'type': 'Feature', 'id': 'relation/8319289', 'properties': {'addr:city': 'Einsiedeln', 'addr:country': 'CH', 'addr:housenumber': '1', 'addr:postcode': '8840', 'addr:street': 'Allmeindstrasse', 'amenity': 'social_facility', 'building': 'yes', 'name': 'Altersheim Langrüti', 'social_facility': 'nursing_home', 'type': 'multipolygon', 'website': 'https://www.langrueti-einsiedeln.ch', 'id': 'relation/8319289'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7411381, 47.1215277], [8.7413857, 47.1213711], [8.7415236, 47.121474], [8.741264900000001, 47.121635], [8.7413396, 47.1216899], [8.7414319, 47.1217582], [8.7413737, 47.121799], [8.7414002, 47.1218193], [8.741316, 47.1218728], [8.7412865, 47.1218498], [8.7411286, 47.1219469], [8.7409895, 47.1218389], [8.7411381, 47.121743], [8.7410723, 47.1216766], [8.7409032, 47.1216787], [8.740897799999999, 47.1216893], [8.7407987, 47.1216881], [8.7407932, 47.1216743], [8.7407554, 47.1216766], [8.7407536, 47.1216686], [8.7406445, 47.1216648], [8.7405828, 47.1214846], [8.7406505, 47.1212608], [8.7410215, 47.1212986], [8.7411381, 47.1215277]], [[8.7409651, 47.1213954], [8.7407747, 47.1214337], [8.7407837, 47.1215322], [8.7410761, 47.1215509], [8.7409651, 47.1213954]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/123273618', 'properties': {'addr:housenumber': '14', 'addr:street': 'Bahnhofstrasse', 'amenity': 'nursing_home', 'building': 'yes', 'name': 'Alterszentrum Turm-Matt', 'website': 'https://www.az-turmmatt.ch/', 'id': 'way/123273618'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7220133, 47.1946667], [8.7220498, 47.1946402], [8.7220234, 47.194618], [8.7221138, 47.1945592], [8.7221766, 47.1946121], [8.7221942, 47.194601], [8.7224178, 47.1947717], [8.7224052, 47.194781], [8.7224466, 47.1948152], [8.7224429, 47.1949193], [8.7224253, 47.1949202], [8.7224228, 47.1949765], [8.722294699999999, 47.1949739], [8.7222959, 47.1949347], [8.7222294, 47.1949347], [8.7222319, 47.1948323], [8.7220133, 47.1946667]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/123273619', 'properties': {'addr:housenumber': '16', 'addr:street': 'Bahnhofstrasse', 'amenity': 'nursing_home', 'building': 'yes', 'name': 'Alterszentrum Turm-Matt', 'website': 'https://www.az-turmmatt.ch/', 'id': 'way/123273619'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7214268, 47.1944977], [8.7216454, 47.194368], [8.7217709, 47.1944661], [8.7217583, 47.1944737], [8.7217063, 47.1945051], [8.7216931, 47.1945131], [8.7216906, 47.194595], [8.7218384, 47.1946033], [8.7218576, 47.1946044], [8.7220272, 47.1947264], [8.7220256, 47.1947424], [8.7220196, 47.1948041], [8.7219527, 47.1948034], [8.7219342, 47.1948032], [8.7218702, 47.1948442], [8.7218011, 47.1947964], [8.7217697, 47.1947964], [8.7217421, 47.1947682], [8.72157, 47.1947665], [8.7214306, 47.1946803], [8.7214268, 47.1944977]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/170203136', 'properties': {'addr:housenumber': '1', 'addr:postcode': '8840', 'addr:street': 'Allmeindstrasse', 'amenity': 'nursing_home', 'building': 'yes', 'id': 'way/170203136'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7412596, 47.1219087], [8.741316, 47.1218728], [8.7414002, 47.1218193], [8.7414248, 47.1218037], [8.7415515, 47.1218959], [8.7415659, 47.1218868], [8.7416796, 47.1219697], [8.7416656, 47.1219785], [8.7417855, 47.1220659], [8.7416199, 47.1221711], [8.7412596, 47.1219087]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/190257056', 'properties': {'addr:city': 'Freienbach', 'addr:housenumber': '1', 'addr:postcode': '8807', 'addr:street': 'Pfarrmatte', 'amenity': 'nursing_home', 'building': 'yes', 'email': 'pflegezentren@freienbach.ch', 'name': 'Pflegezentrum Pfarrmatte', 'phone': '+41 55 415 35 35', 'id': 'way/190257056'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7591923, 47.2064071], [8.7593626, 47.2063716], [8.7594275, 47.2065155], [8.7589535, 47.2066141], [8.7588895, 47.2064724], [8.7590482, 47.2064394], [8.7590188, 47.2063743], [8.7589921, 47.2063799], [8.7588618, 47.2060909], [8.7590612, 47.2060494], [8.7591921, 47.2063397], [8.7591645, 47.2063454], [8.7591923, 47.2064071]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/201086275', 'properties': {'addr:housenumber': '1', 'addr:postcode': '8852', 'addr:street': 'Engelhofstrasse', 'amenity': 'nursing_home', 'building': 'yes', 'name': 'Seniorenzentrum Engelhof', 'id': 'way/201086275'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.8326795, 47.1922475], [8.8323857, 47.1923387], [8.8325183, 47.192536], [8.8321642, 47.1926459], [8.8320348, 47.1924534], [8.8320917, 47.1924357], [8.8319872, 47.1922802], [8.8320425, 47.192263], [8.8319327, 47.1920995], [8.8321685, 47.1920264], [8.8322543, 47.1921541], [8.8325542, 47.192061], [8.8326795, 47.1922475]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/202068144', 'properties': {'addr:city': 'Pfäffikon (SZ)', 'addr:housenumber': '18', 'addr:postcode': '8808', 'addr:street': 'Etzelstrasse', 'alt_name': 'Pflegeheim Pfäffikon Sz', 'amenity': 'social_facility', 'building': 'yes', 'name': 'Pflegezentrum Roswitha', 'operator': 'Gemeinde Freienbach', 'phone': '+41 55 415 07 07', 'social_facility': 'nursing_home', 'website': 'https://www.freienbach.ch/pflegezentren/plegezentrumroswitha', 'id': 'way/202068144'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7787718, 47.1999114], [8.7786046, 47.199759], [8.7785881, 47.1997674], [8.7784603, 47.1996509], [8.7786288, 47.1995655], [8.778697, 47.1996277], [8.778666, 47.1996434], [8.7789065, 47.1998626], [8.7789271, 47.1998522], [8.7792728, 47.2001673], [8.7790544, 47.200278], [8.77881, 47.2000552], [8.7788454, 47.2000373], [8.7787304, 47.1999324], [8.7787718, 47.1999114]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/204259924', 'properties': {'addr:city': 'Goldau', 'addr:housenumber': '2', 'addr:postcode': '6410', 'addr:street': 'Mythenstrasse', 'amenity': 'social_facility', 'building': 'yes', 'name': 'Alterszentrum Mythenpark', 'social_facility': 'nursing_home', 'social_facility:for': 'senior', 'id': 'way/204259924'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5494395, 47.0514101], [8.549493, 47.0513031], [8.5495539, 47.0513176], [8.5495703, 47.0512873], [8.5495603, 47.0512874], [8.549547, 47.0511424], [8.549565, 47.0511425], [8.5495607, 47.051088], [8.5495276, 47.0510797], [8.5495297, 47.0510729], [8.549476, 47.0510592], [8.5495347, 47.0509405], [8.5495922, 47.0509545], [8.5495952, 47.0509477], [8.5496256, 47.0509551], [8.5496308, 47.0509449], [8.5498329, 47.0509929], [8.5498269, 47.0510049], [8.5498525, 47.0510107], [8.5497883, 47.0511388], [8.549761, 47.0511326], [8.5497653, 47.0511671], [8.5497869, 47.0511662], [8.5498006, 47.0513109], [8.54978, 47.0513118], [8.5497882, 47.0513714], [8.5498488, 47.0513879], [8.5497953, 47.0514927], [8.5494395, 47.0514101]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/221044976', 'properties': {'addr:city': 'Wangen', 'addr:housenumber': '24', 'addr:postcode': '8855', 'addr:street': 'Zürcherstrasse', 'amenity': 'nursing_home', 'building': 'yes', 'name': 'Behinderten-Wohnheim Höfli', 'phone': '+41 55 450 60 20', 'id': 'way/221044976'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.8912486, 47.191724], [8.8912404, 47.1915055], [8.8915462, 47.1915002], [8.8917484, 47.1917419], [8.8916492, 47.1917815], [8.8915527, 47.1916721], [8.8914036, 47.1916747], [8.8914053, 47.1917213], [8.8912486, 47.191724]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/221044977', 'properties': {'addr:city': 'Wangen', 'addr:housenumber': '2', 'addr:postcode': '8855', 'addr:street': 'Hengstackerstrasse', 'amenity': 'social_facility', 'building': 'residential', 'building:levels': '3', 'name': 'Seniorenzentrum Brunnenhof', 'social_facility': 'group_home', 'social_facility:for': 'senior', 'id': 'way/221044977'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.8894604, 47.1910579], [8.8901699, 47.1910377], [8.8901657, 47.1909698], [8.8903367, 47.190965], [8.8903502, 47.1911835], [8.8896332, 47.1912039], [8.8896396, 47.1913077], [8.8894761, 47.1913123], [8.8894604, 47.1910579]]]}}"
