type,features
FeatureCollection,"{'type': 'Feature', 'id': 'way/38422857', 'properties': {'addr:city': 'Rotkreuz', 'addr:country': 'CH', 'addr:housenumber': '15', 'addr:postcode': '6343', 'addr:street': 'Waldeggstrasse', 'amenity': 'nursing_home', 'building': 'yes', 'name': 'Altersheim Dreilinden', 'phone': '+41-41-7903464', 'social_facility': 'nursing_home', 'social_facility:for': 'senior', 'url': 'http://www.zentrum-dreilinden.ch/', 'wheelchair': 'yes', 'id': 'way/38422857'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.4315266, 47.1407208], [8.4315804, 47.1406094], [8.4314796, 47.1405866], [8.4315133, 47.1405187], [8.4314776, 47.1405106], [8.4314783, 47.1405069], [8.4314815, 47.140507], [8.4314856, 47.1404971], [8.4314778, 47.1404879], [8.4314724, 47.1404868], [8.4314809, 47.1404694], [8.4314982, 47.1404726], [8.4315051, 47.1404598], [8.4315225, 47.1404641], [8.4315269, 47.1404535], [8.4315829, 47.1404342], [8.4316174, 47.1404429], [8.4316308, 47.1404169], [8.4316572, 47.1404227], [8.4316568, 47.1404288], [8.4316605, 47.1404346], [8.4316695, 47.1404385], [8.4316788, 47.140438], [8.4316833, 47.1404389], [8.4316719, 47.1404632], [8.4316877, 47.1404663], [8.4316895, 47.1404736], [8.431693, 47.1404784], [8.431698, 47.1404825], [8.4317048, 47.1404838], [8.4317111, 47.1404833], [8.4317358, 47.140489], [8.4317237, 47.1405147], [8.431723, 47.1405198], [8.4317272, 47.1405242], [8.4317339, 47.1405285], [8.4317436, 47.1405294], [8.4317493, 47.140529], [8.4317542, 47.1405165], [8.431776, 47.1405213], [8.4317564, 47.1405619], [8.4317632, 47.1405719], [8.4317775, 47.1405752], [8.4317786, 47.1405732], [8.4317847, 47.1405748], [8.4317653, 47.1406138], [8.4317819, 47.1406175], [8.4317961, 47.140588], [8.4318038, 47.1405824], [8.431813, 47.1405783], [8.4318243, 47.140577], [8.4318355, 47.1405779], [8.4318451, 47.1405816], [8.4318528, 47.140587], [8.4318573, 47.1405954], [8.4318576, 47.1406042], [8.4318437, 47.1406309], [8.431852899999999, 47.1406331], [8.4318771, 47.1405825], [8.4318918, 47.1405778], [8.4319388, 47.1405883], [8.4319378, 47.1405928], [8.431945, 47.1405945], [8.4319512, 47.1405969], [8.431957, 47.1406003], [8.4319616, 47.1406041], [8.4321415, 47.1406437], [8.4320974, 47.1407393], [8.4319518, 47.1407058], [8.4319391, 47.1407304], [8.4318778, 47.1407522], [8.4318736, 47.1407518], [8.4318255, 47.140852], [8.4317125, 47.1408276], [8.4317135, 47.1408237], [8.4317173, 47.1408239], [8.4317208, 47.1408138], [8.4317141, 47.1408047], [8.4317073, 47.1408025], [8.4317138, 47.1407898], [8.4316144, 47.1407678], [8.4316156, 47.1407664], [8.4315492, 47.1407518], [8.4315266, 47.1407208]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/192553690', 'properties': {'addr:city': 'Unterägeri', 'addr:country': 'CH', 'addr:housenumber': '1', 'addr:postcode': '6314', 'addr:street': 'Chlösterli', 'amenity': 'social_facility', 'building': 'yes', 'name': 'Alters- und Pflegehiem Chlösterli', 'phone': '+41 41 754 66 00', 'social_facility': 'nursing_home', 'social_facility:for': 'senior', 'website': 'https://chloesterli.ch/', 'wheelchair': 'yes', 'id': 'way/192553690'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5762478, 47.1307914], [8.5769602, 47.1307771], [8.5769659, 47.1309076], [8.5767118, 47.1309127], [8.5767345, 47.1314357], [8.5769445, 47.1314314], [8.5769351, 47.1312146], [8.5769776, 47.1312138], [8.5769724, 47.1310932], [8.5769781, 47.1310931], [8.5769761, 47.1310458], [8.5771339, 47.1310426], [8.5771431, 47.1312538], [8.5771157, 47.1312544], [8.5771242, 47.131466], [8.5772675, 47.1314638], [8.5772711, 47.1315819], [8.5769848, 47.1315863], [8.5769854, 47.1315998], [8.5769412, 47.1316007], [8.5769425, 47.1316307], [8.5768342, 47.1316329], [8.5768329, 47.1316034], [8.5765184, 47.1316097], [8.5765147, 47.1315247], [8.5765465, 47.1315241], [8.5765449, 47.131488], [8.576467300000001, 47.1314895], [8.5764602, 47.1313256], [8.5765423, 47.1313239], [8.57654, 47.1312703], [8.5765078, 47.1312709], [8.5764925, 47.1309192], [8.5762535, 47.130924], [8.5762478, 47.1307914]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/198668824', 'properties': {'addr:city': 'Zugerberg', 'addr:housenumber': '3', 'addr:place': 'Horbach', 'addr:postcode': '6300', 'amenity': 'social_facility', 'building': 'yes', 'loc_name': 'Sennhütte', 'name': 'Fachinstitution für Suchttherapie', 'operator': 'gemeinnützigen gesellscahft zug', 'social_facility': 'nursing_home', 'id': 'way/198668824'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5147929, 47.1309553], [8.5149464, 47.1309198], [8.5148644, 47.1307558], [8.5150049, 47.1307233], [8.5151339, 47.1309817], [8.51484, 47.1310497], [8.5147929, 47.1309553]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/229219652', 'properties': {'addr:city': 'Hünenberg', 'addr:housenumber': '1', 'addr:postcode': '6331', 'addr:street': 'Lindenpark', 'alt_name': 'Alters- und Pflegeheim Lindenpark', 'amenity': 'nursing_home', 'building': 'yes', 'email': 'info@lindenpark-huenenberg.ch', 'name': 'Lindenpark Wohnen im Alter', 'operator': 'Stiftung für das Alter Hünenberg', 'phone': '+41 41 747 02 02', 'website': 'https://lindenpark-huenenberg.ch/', 'id': 'way/229219652'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.4259133, 47.1775192], [8.4261417, 47.1771272], [8.4263924, 47.1771947], [8.4261782, 47.1775624], [8.4262355, 47.1775779], [8.4260457, 47.1779038], [8.4260931, 47.1779165], [8.4259581, 47.1781482], [8.4258244, 47.1780915], [8.4258437, 47.178058300000004], [8.4257364, 47.1780294], [8.4257734, 47.1779659], [8.425818, 47.1779779], [8.4259194, 47.1778038], [8.4258826, 47.1777939], [8.4259816, 47.1776239], [8.4260132, 47.1776324], [8.4260567, 47.1775578], [8.4259133, 47.1775192]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/255270071', 'properties': {'amenity': 'social_facility', 'name': 'Seniorenzentrum Mülimatt', 'operator': 'Bürgergemeinde Zug', 'social_facility': 'group_home', 'social_facility:for': 'senior', 'id': 'way/255270071'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5094126, 47.1458182], [8.5103478, 47.1468472], [8.5098044, 47.146981], [8.5088838, 47.1461268], [8.5094126, 47.1458182]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/280671006', 'properties': {'addr:city': 'Walchwil', 'addr:housenumber': '41', 'addr:postcode': '6318', 'addr:street': 'Hinterbergstrasse', 'amenity': 'nursing_home', 'building': 'yes', 'email': 'kontakt@zentrum-elisabeth.ch', 'fax': '+41 41 759 82 00', 'name': 'Zentrum Elisabeth', 'website': 'http://zentrumelisabeth.ch', 'id': 'way/280671006'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.523956, 47.0953171], [8.5239654, 47.0952727], [8.5239318, 47.0952687], [8.5239405, 47.0952329], [8.5239529, 47.0952329], [8.523969, 47.0951468], [8.523942, 47.0951449], [8.5239592, 47.0950535], [8.524004099999999, 47.0950573], [8.524021, 47.0950123], [8.5240072, 47.0950098], [8.5240372, 47.0949291], [8.5241554, 47.0949478], [8.5243945, 47.0948496], [8.524427, 47.0948858], [8.5244095, 47.0948913], [8.5244181, 47.0949021], [8.5244464, 47.094892], [8.5244718, 47.094921], [8.524255, 47.0950098], [8.5242594, 47.0950156], [8.5242378, 47.0950245], [8.5242349, 47.0950215], [8.524204600000001, 47.095034], [8.5241885, 47.0950157], [8.5241334, 47.0950386], [8.5241427, 47.0950385], [8.5241388, 47.0950593], [8.5241299, 47.0950581], [8.5240509, 47.0954246], [8.523999, 47.0954193], [8.5239887, 47.095473], [8.5239464, 47.095487], [8.5239025, 47.0955491], [8.5237426, 47.0955248], [8.5237652, 47.0954551], [8.5237959, 47.0954596], [8.5238492, 47.095301], [8.523956, 47.0953171]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/280671491', 'properties': {'amenity': 'social_facility', 'building:part': 'yes', 'name': 'Alterswohnheim Mütschi', 'social_facility': 'group_home', 'social_facility:for': 'senior', 'website': 'https://www.muetschi.ch/', 'id': 'way/280671491'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5174384, 47.0995181], [8.5179442, 47.0995348], [8.5179384, 47.0996237], [8.5179126, 47.0996229], [8.517911699999999, 47.0996374], [8.5176497, 47.0996295], [8.517540499999999, 47.0997028], [8.5175639, 47.0997192], [8.5173681, 47.0998484], [8.5173103, 47.099807], [8.5173015, 47.0998126], [8.5172198, 47.0997541], [8.5172489, 47.0997355], [8.517430300000001, 47.0996197], [8.5173809, 47.0995839], [8.5173762, 47.0995753], [8.5173742, 47.0995644], [8.517375, 47.099558], [8.5173802, 47.0995453], [8.5173944, 47.0995317], [8.5174146, 47.0995222], [8.5174384, 47.0995181]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/308276271', 'properties': {'addr:city': 'Menzingen', 'addr:housenumber': '14', 'addr:postcode': '6313', 'addr:street': 'Seminarstrasse', 'alt_name': 'Altersheim der Schwestern vom Heiligen Kreuz', 'amenity': 'social_facility', 'building': 'yes', 'email': 'mvb@institut-menzingen.ch', 'name': 'Altersheim Maria vom Berg', 'operator': 'Schwestern vom Heiligen Kreuz', 'phone': '+41 41 757 46 46', 'social_facility': 'nursing_home', 'website': 'https://www.kloster-menzingen.ch/', 'id': 'way/308276271'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5831515, 47.1815256], [8.5831681, 47.1813461], [8.5831738, 47.1813331], [8.5831837, 47.1813196], [8.5832022, 47.181309], [8.5832196, 47.1812996], [8.5832394, 47.1812954], [8.5832658, 47.1812942], [8.5832897, 47.181297], [8.5833132, 47.1813044], [8.5833312, 47.1813147], [8.583344199999999, 47.1813274], [8.5833531, 47.1813426], [8.5833566, 47.181362], [8.5833512, 47.1813903], [8.5838847, 47.181415], [8.5838945, 47.1812795], [8.5840885, 47.1812885], [8.5840687, 47.1814853], [8.5840338, 47.1814853], [8.5840324, 47.1815075], [8.5840195, 47.181506], [8.583998, 47.1817345], [8.583826, 47.181727], [8.5838434, 47.1815557], [8.5834383, 47.1815382], [8.5834373, 47.1815461], [8.5833982, 47.1815448], [8.5833978, 47.1815527], [8.5833312, 47.1815496], [8.5833316, 47.1815322], [8.5831515, 47.1815256]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/308276272', 'properties': {'addr:city': 'Menzingen', 'addr:country': 'CH', 'addr:housenumber': '11a', 'addr:postcode': '6313', 'addr:street': 'Seminarstrasse', 'amenity': 'nursing_home', 'building': 'yes', 'email': 'franziskus@institut-menzingen.ch', 'name': 'Pflegeheim St. Franziskus', 'operator': 'Schwestern vom Heiligen Kreuz', 'phone': '+41 41 757 44 44', 'website': 'https://www.kloster-menzingen.ch/uber-uns/', 'id': 'way/308276272'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5845845, 47.1807842], [8.5845871, 47.1806605], [8.584562, 47.1806603], [8.5845707, 47.1802311], [8.5845478, 47.1802309], [8.5845496, 47.1801418], [8.584692, 47.1801431], [8.5846919, 47.180152], [8.585267, 47.1801574], [8.5852668, 47.1801681], [8.5853099, 47.1801685], [8.5853084, 47.1802389], [8.5852682, 47.1802386], [8.585267, 47.1803003], [8.585033, 47.1802981], [8.5850251, 47.1806856], [8.5849841, 47.1806852], [8.584982, 47.1807879], [8.5845845, 47.1807842]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/398238825', 'properties': {'addr:city': 'Oberwil b. Zug', 'addr:housenumber': '3', 'addr:postcode': '6317', 'addr:street': 'Mülimatt', 'amenity': 'social_facility', 'operator': 'Bürgergemeinde Zug', 'social_facility': 'nursing_home', 'social_facility:for': 'senior', 'id': 'way/398238825'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.509221, 47.1464005], [8.5092171, 47.1461621], [8.5093518, 47.1461611], [8.5094579, 47.1461603], [8.5095434, 47.1461596], [8.5095447, 47.1462405], [8.5096562, 47.1462397], [8.5096584, 47.1463768], [8.509848, 47.1463754], [8.5098489, 47.1464294], [8.5099197, 47.1464289], [8.5099206, 47.1464817], [8.5095022, 47.1464849], [8.5095007, 47.1463984], [8.509221, 47.1464005]]]}}"
