type,features
FeatureCollection,"{'type': 'Feature', 'id': 'relation/2518007', 'properties': {'amenity': 'social_facility', 'building': 'yes', 'name': 'Alterswohnheim Tannenrauch', 'operator': 'Verein Altersgerechtes Wohnen Wollishofen', 'social_facility': 'group_home', 'social_facility:for': 'senior', 'source': 'Stadt Zürich Open Government Data; Geomatik + Vermessung; Tiefbau- und Entsorgungsdepartement', 'type': 'multipolygon', 'id': 'relation/2518007'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.528580999999999, 47.3456508], [8.528307, 47.345723], [8.528262, 47.3457356], [8.5282065, 47.3456447], [8.5282293, 47.3456383], [8.5282461, 47.3456106], [8.52823, 47.3456061], [8.5282351, 47.3455977], [8.5282301, 47.3455964], [8.5282523, 47.3455597], [8.5282461, 47.345558], [8.5282623, 47.3455311], [8.528258, 47.3455299], [8.528289000000001, 47.3454788], [8.5282947, 47.3454804], [8.5283136, 47.3454493], [8.5283177, 47.3454505], [8.5283368, 47.345419], [8.5283426, 47.3454206], [8.5283481, 47.3454114], [8.528356, 47.3454136], [8.5283969, 47.3453461], [8.5284107, 47.3453499], [8.5284127, 47.3453467], [8.5284585, 47.3453595], [8.5284601, 47.3453568], [8.5285337, 47.3453773], [8.5285323, 47.3453797], [8.5285441, 47.345383], [8.5285271, 47.3454109], [8.528554100000001, 47.3454184], [8.528562, 47.3454313], [8.5285761, 47.3454273], [8.5285868, 47.3454447], [8.5285935, 47.3454428], [8.5286131, 47.3454746], [8.5286154, 47.3454739], [8.5286452, 47.3455223], [8.528641499999999, 47.345523299999996], [8.5286613, 47.3455554], [8.5286564, 47.3455568], [8.528676, 47.3455887], [8.5286709, 47.3455901], [8.5286763, 47.3455988], [8.5286431, 47.3456082], [8.5286562, 47.3456298], [8.528580999999999, 47.3456508]], [[8.5283531, 47.345603], [8.5283424, 47.3456207], [8.5283582, 47.3456466], [8.5284573, 47.3456189], [8.5284483, 47.3456042], [8.52848, 47.3455953], [8.5284653, 47.3455712], [8.5284368, 47.3455633], [8.5284223, 47.3455872], [8.5283649, 47.3456032], [8.5283531, 47.345603]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'relation/2833848', 'properties': {'addr:city': 'Zürich', 'addr:housenumber': '40', 'addr:postcode': '8055', 'addr:street': 'Sallenbachstrasse', 'amenity': 'nursing_home', 'building': 'yes', 'name': 'Seniorenzentrum SIKNA', 'type': 'multipolygon', 'id': 'relation/2833848'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.4983707, 47.3693697], [8.4983483, 47.3692443], [8.4981075, 47.369264], [8.4979702, 47.3692118], [8.4979453, 47.3690803], [8.4980716, 47.3690693], [8.4980597, 47.3690061], [8.4980899, 47.3690035], [8.4980662, 47.3688782], [8.4982901, 47.3688588], [8.4983139, 47.3689842], [8.4984403, 47.3689732], [8.4984465, 47.369006], [8.498467, 47.3690043], [8.498479, 47.369068], [8.4984977, 47.3690663], [8.4985038, 47.3690985], [8.4985505, 47.3690945], [8.4985867, 47.369286], [8.49857, 47.3692875], [8.4985741, 47.3693089], [8.4985908, 47.3693075], [8.4986107, 47.3694126], [8.498496, 47.3694226], [8.4983707, 47.3693697]], [[8.4982286, 47.3691348], [8.4983444, 47.3691254], [8.4983506, 47.3691202], [8.4983356, 47.3690409], [8.498329, 47.3690374], [8.4982132, 47.3690473], [8.4982067, 47.3690521], [8.4982214, 47.3691314], [8.4982286, 47.3691348]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'relation/3863808', 'properties': {'addr:city': 'Embrach', 'addr:housenumber': '51', 'addr:postcode': '8424', 'addr:street': 'Römerweg', 'amenity': 'social_facility', 'building': 'yes', 'name': 'KZU Kompetenzzentrum Pflege und Gesundheit', 'short_name': 'KZU Embrach', 'social_facility': 'nursing_home', 'social_facility:for': 'senior', 'type': 'multipolygon', 'id': 'relation/3863808'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5843494, 47.5241921], [8.5849397, 47.5242528], [8.5849346, 47.5242755], [8.5849778, 47.5242804], [8.5850184, 47.5242842], [8.5850236, 47.5242614], [8.5852784, 47.5242876], [8.5852528, 47.5244015], [8.5852914, 47.5244055], [8.5852338, 47.5246609], [8.5851546, 47.5246527], [8.5851511, 47.5246681], [8.5851018, 47.524663], [8.5851053, 47.5246477], [8.584518, 47.5245873], [8.5845689, 47.5243614], [8.584317, 47.5243355], [8.5843494, 47.5241921]], [[8.5847489, 47.5245258], [8.584874, 47.5245375], [8.5849031, 47.524396], [8.5847781, 47.5243843], [8.5847489, 47.5245258]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'relation/13468273', 'properties': {'addr:city': 'Winterthur', 'addr:housenumber': '2', 'addr:postcode': '8408', 'addr:street': 'Gartenhof', 'alt_name': 'Alters- und Pflegeheim Gartenhof', 'amenity': 'social_facility', 'building': 'yes', 'contact:email': 'gartenhof@tertianum.ch', 'contact:phone': '+41 52 544 74 74', 'contact:website': 'https://www.tertianum.ch/de/tertianum-gartenhof-winterthur_url-correct', 'name': 'Tertianum Gartenhof', 'social_facility': 'nursing_home', 'type': 'multipolygon', 'id': 'relation/13468273'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.6888807, 47.5079836], [8.6881989, 47.5079914], [8.6880526, 47.507993], [8.6880426, 47.5075989], [8.6890165, 47.507588], [8.6890256, 47.5079823], [8.6888807, 47.5079836]], [[8.6886507, 47.5079029], [8.6888934, 47.5079029], [8.6888934, 47.5076775], [8.6886507, 47.5076775], [8.6886507, 47.5079029]], [[8.6881855, 47.5079091], [8.6884293, 47.5079091], [8.6884293, 47.5076884], [8.6881855, 47.5076884], [8.6881855, 47.5079091]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/10743329', 'properties': {'amenity': 'social_facility', 'building': 'yes', 'name': 'Eichi', 'social_facility': 'group_home', 'social_facility:for': 'senior', 'id': 'way/10743329'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5006946, 47.4941814], [8.5005783, 47.4940107], [8.5006903, 47.493803], [8.5004738, 47.493496], [8.5006859, 47.4934277], [8.5009607, 47.493817], [8.5008696, 47.4938463], [8.5007834, 47.4940128], [8.5008627, 47.4941292], [8.5006946, 47.4941814]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/22702052', 'properties': {'addr:housenumber': '7', 'addr:street': 'Konradstrasse', 'amenity': 'social_facility', 'building': 'apartments', 'building:levels': '6', 'name': 'Konradhof', 'social_facility': 'group_home', 'social_facility:for': 'senior', 'id': 'way/22702052'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7228405, 47.5016228], [8.7225138, 47.5017362], [8.7224665, 47.5016741], [8.7223986, 47.5016977], [8.7224254, 47.501733], [8.7223659, 47.5017536], [8.7223393, 47.5017187], [8.7222566, 47.5017473], [8.7222995, 47.501803699999996], [8.7221289, 47.501863], [8.7218479, 47.5014935], [8.7221176, 47.5013999], [8.7222605, 47.5015877], [8.7224582, 47.5015191], [8.7223022, 47.501314], [8.7224863, 47.5012501], [8.7225268, 47.5013034], [8.7225828, 47.5012839], [8.7228405, 47.5016228]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/22702359', 'properties': {'addr:housenumber': '7', 'addr:street': 'Wülflingerstrasse', 'amenity': 'nursing_home', 'building': 'dormitory', 'fax': '+41 52 2645400', 'name': 'Seniorenzentrum Wiesengrund', 'phone': '+41 52 264 54 54', 'website': 'https://www.huelfsgesellschaft.ch/seniorenzentrum.php', 'id': 'way/22702359'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7227248, 47.5030215], [8.7227509, 47.5030578], [8.7226365, 47.5030946], [8.722649, 47.5031143], [8.7224568, 47.5031667], [8.7224707, 47.5031883], [8.7223322, 47.5032291], [8.7223534, 47.5032619], [8.7221915, 47.5033095], [8.7221291, 47.5032128], [8.7220826, 47.5032256], [8.7221196, 47.5032881], [8.722084, 47.5032983], [8.7218909, 47.5029959], [8.7222085, 47.5029065], [8.7222616, 47.5029893], [8.7225228, 47.5029149], [8.7225854, 47.5030131], [8.7226136, 47.5030572], [8.7227248, 47.5030215]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/23702429', 'properties': {'addr:city': 'Stäfa', 'addr:country': 'CH', 'addr:housename': 'Alters- und Pflegeheim Wiesengrund', 'addr:housenumber': '44', 'addr:postcode': '8712', 'addr:street': 'Etzelstrasse', 'amenity': 'social_facility', 'building': 'yes', 'name': 'Alters- und Pflegeheim Wiesengrund', 'operator': 'ETG - Evangelische Freikirch', 'social_facility': 'group_home', 'social_facility:for': 'senior', 'id': 'way/23702429'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7224999, 47.2454117], [8.7225014, 47.2454116], [8.7225118, 47.2455954], [8.722415699999999, 47.2455979], [8.7223152, 47.2456005], [8.7223149, 47.2455952], [8.7222246, 47.2455976], [8.7222234, 47.245578], [8.7220996, 47.2455812], [8.7221007, 47.2456005], [8.7219816, 47.2456036], [8.7219808, 47.2455406], [8.7219711, 47.2454312], [8.7221151, 47.2454275], [8.7221137, 47.2454023], [8.722271, 47.2453982], [8.7222721, 47.2454176], [8.7223619, 47.2454153], [8.7223502, 47.2451661], [8.7225227, 47.2451615], [8.7225394, 47.2453211], [8.7224988, 47.2453341], [8.7224999, 47.2454117]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/23702575', 'properties': {'addr:city': 'Stäfa', 'addr:country': 'CH', 'addr:housename': 'Alterszentrum Lanzlen', 'addr:housenumber': '58', 'addr:postcode': '8712', 'addr:street': 'Bahnhofstrasse', 'amenity': 'social_facility', 'building': 'yes', 'name': 'Alterszentrum Lanzlen', 'social_facility': 'nursing_home', 'social_facility:for': 'senior', 'wheelchair': 'yes', 'id': 'way/23702575'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7264351, 47.2391646], [8.7264364, 47.2391667], [8.7259667, 47.2393361], [8.725897, 47.2392627], [8.7260867, 47.2391867], [8.7259233, 47.2389354], [8.7261274, 47.2388115], [8.7263019, 47.2389549], [8.726303, 47.2389567], [8.7265571, 47.2389168], [8.7263512, 47.2387424], [8.7265079, 47.2385887], [8.726763, 47.2387108], [8.7268235, 47.2387665], [8.7268726, 47.2387463], [8.7269669, 47.2388432], [8.7265424, 47.2391255], [8.7264351, 47.2391646]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/24418369', 'properties': {'addr:city': 'Hinteregg', 'addr:housenumber': '9', 'addr:place': 'Ober Halden', 'addr:postcode': '8132', 'amenity': 'social_facility', 'building': 'yes', 'name': 'Durchgangszentrum Ober Halden', 'operator': 'ORS', 'social_facility': 'group_home', 'social_facility:for': 'migrant', 'id': 'way/24418369'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.6888702, 47.3106015], [8.6888584, 47.3107138], [8.6887957, 47.3107099], [8.6887925, 47.3107342], [8.6887289, 47.3107303], [8.6887315, 47.3107065], [8.6886357, 47.3107014], [8.6886322, 47.3107149], [8.6885935, 47.3107126], [8.6885853, 47.3107887], [8.6885526, 47.3107879], [8.688544199999999, 47.3108712], [8.6884577, 47.3108664], [8.6884774, 47.3106924], [8.6884681, 47.3106924], [8.6884817, 47.3105804], [8.6888702, 47.3106015]]]}}"
