type,features
FeatureCollection,"{'type': 'Feature', 'id': 'way/54679350', 'properties': {'addr:city': 'Baar', 'addr:housenumber': '12', 'addr:postcode': '6340', 'addr:street': 'Bahnhofstrasse', 'amenity': 'social_facility', 'building': 'yes', 'name': 'Altersheim Martinspark', 'social_facility': 'assisted_living', 'id': 'way/54679350'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.522677, 47.1945808], [8.5225405, 47.1947998], [8.5216328, 47.1945386], [8.5217693, 47.1943196], [8.522677, 47.1945808]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/54679405', 'properties': {'addr:city': 'Baar', 'addr:housenumber': '2', 'addr:postcode': '6340', 'addr:street': 'Bahnmatt', 'amenity': 'social_facility', 'building': 'house', 'email': 'kontakt@vivivabaar.ch', 'name': 'VIVIVA Bahnmatt', 'operator': 'VIVIVA Baar', 'phone': '+41 41 769 89 89', 'social_facility': 'assisted_living', 'social_facility:for': 'Pflege und Betreuung im Alter', 'website': 'https://www.vivivabaar-wohnen.ch/standorte/bahnmatt', 'id': 'way/54679405'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5226983, 47.1970131], [8.5227264, 47.1970245], [8.5225943, 47.1971743], [8.5225168, 47.1971427], [8.52255, 47.1971051], [8.5224209, 47.1970526], [8.5223935, 47.1970836], [8.522347, 47.1970647], [8.5223053, 47.1970826], [8.5221486, 47.1970188], [8.522179, 47.1969844], [8.5222003, 47.196993], [8.5222251, 47.196965], [8.5222501, 47.1969753], [8.5222757, 47.1969463], [8.5223011, 47.1969567], [8.5224917, 47.1967405], [8.5225635, 47.1967698], [8.5225862, 47.1967441], [8.5226219, 47.1967586], [8.5227624, 47.1969403], [8.5226983, 47.1970131]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/113155847', 'properties': {'addr:city': 'Zug', 'addr:housenumber': '4', 'addr:postcode': '6300', 'addr:street': 'Bundesstrasse', 'alt_name': 'Alterszentrum Neustadt', 'amenity': 'social_facility', 'building': 'yes', 'email': 'neustadt@alterszentrenzug.ch', 'name': 'Zentrum Neustadt', 'operator': 'Stiftung Alterszentren Zug', 'phone': '+41 41 725 38 00', 'social_facility': 'assisted_living', 'social_facility:for': 'senior', 'website': 'https://www.alterszentrenzug.ch/zentren/neustadt/', 'id': 'way/113155847'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5119665, 47.1720551], [8.5120244, 47.1720369], [8.5120104, 47.1720179], [8.5121399, 47.1719763], [8.5121535, 47.1719961], [8.5122515, 47.1719649], [8.5124067, 47.172189], [8.5123093, 47.1722208], [8.5125096, 47.1725138], [8.5123819, 47.1725548], [8.5123544, 47.1725186], [8.5122444, 47.1725542], [8.5120601, 47.1722495], [8.5120917, 47.172238], [8.5119665, 47.1720551]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/170517771', 'properties': {'addr:city': 'Zug', 'addr:housenumber': '1a', 'addr:postcode': '6300', 'addr:street': 'Chollerstrasse', 'amenity': 'social_facility', 'building': 'yes', 'email': 'info@stiftung-eichholz.ch', 'name': 'Stiftung Eichholz', 'phone': '+41 41 748 61 30', 'social_facility': 'assisted_living', 'website': 'https://stiftung-eichholz.ch/home/index.html', 'id': 'way/170517771'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.4842604, 47.1828676], [8.4838286, 47.1830625], [8.4836956, 47.1830349], [8.4838168, 47.1827746], [8.4838131, 47.1827738], [8.483850499999999, 47.1826938], [8.484081, 47.1827451], [8.4840455, 47.1828265], [8.4842604, 47.1828676]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/171659304', 'properties': {'addr:city': 'Zug', 'addr:housenumber': '7', 'addr:postcode': '6303', 'addr:street': 'Hertizentrum', 'alt_name': 'Alterszentrum Herti', 'amenity': 'social_facility', 'building': 'yes', 'email': 'herti@alterszentrenzug.ch', 'name': 'Zentrum Herti', 'operator': 'Stiftung Alterszentren Zug', 'phone': '+41 41 729 64 64', 'social_facility': 'assisted_living', 'social_facility:for': 'senior', 'website': 'https://www.alterszentrenzug.ch/zentren/herti/', 'id': 'way/171659304'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5055628, 47.1783246], [8.5055601, 47.1783157], [8.5062314, 47.1782218], [8.5062877, 47.1783993], [8.5062323, 47.1784073], [8.5062769, 47.1785503], [8.506063900000001, 47.1785809], [8.5060651, 47.1785847], [8.5056619, 47.1786427], [8.5055628, 47.1783246]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/192553690', 'properties': {'addr:city': 'Unterägeri', 'addr:country': 'CH', 'addr:housenumber': '1', 'addr:place': 'Chlösterli', 'addr:postcode': '6314', 'amenity': 'social_facility', 'building': 'yes', 'name': 'Alters- und Pflegeheim Chlösterli', 'phone': '+41 41 754 66 00', 'social_facility': 'nursing_home', 'social_facility:for': 'senior', 'website': 'https://chloesterli.ch/', 'wheelchair': 'yes', 'id': 'way/192553690'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5762478, 47.1307914], [8.5769602, 47.1307771], [8.5769659, 47.1309076], [8.5767118, 47.1309127], [8.5767345, 47.1314357], [8.5769445, 47.1314314], [8.5769351, 47.1312146], [8.5769776, 47.1312138], [8.5769724, 47.1310932], [8.5769781, 47.1310931], [8.5769761, 47.1310458], [8.5771339, 47.1310426], [8.5771431, 47.1312538], [8.5771157, 47.1312544], [8.5771242, 47.131466], [8.5772675, 47.1314638], [8.5772711, 47.1315819], [8.5769848, 47.1315863], [8.5769854, 47.1315998], [8.5769412, 47.1316007], [8.5769425, 47.1316307], [8.5768342, 47.1316329], [8.5768329, 47.1316034], [8.5765184, 47.1316097], [8.5765147, 47.1315247], [8.5765465, 47.1315241], [8.5765449, 47.131488], [8.576467300000001, 47.1314895], [8.5764602, 47.1313256], [8.5765423, 47.1313239], [8.57654, 47.1312703], [8.5765078, 47.1312709], [8.5764925, 47.1309192], [8.5762535, 47.130924], [8.5762478, 47.1307914]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/198668824', 'properties': {'addr:city': 'Zugerberg', 'addr:housenumber': '3', 'addr:place': 'Horbach', 'addr:postcode': '6300', 'amenity': 'social_facility', 'building': 'yes', 'loc_name': 'Sennhütte', 'name': 'Fachinstitution für Suchttherapie', 'operator': 'gemeinnützigen gesellscahft zug', 'social_facility': 'nursing_home', 'id': 'way/198668824'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5147929, 47.1309553], [8.5149464, 47.1309198], [8.5148644, 47.1307558], [8.5150049, 47.1307233], [8.5151339, 47.1309817], [8.51484, 47.1310497], [8.5147929, 47.1309553]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/199365164', 'properties': {'addr:housenumber': '1', 'addr:street': 'Frauensteinmatt', 'alt_name': 'Alterszentrum Frauensteinmatt', 'amenity': 'social_facility', 'building': 'yes', 'name': 'Zentrum Frauensteinmatt', 'operator': 'Stiftung Alterszentren Zug', 'social_facility': 'assisted_living', 'social_facility:for': 'senior', 'id': 'way/199365164'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5149646, 47.1628655], [8.5148369, 47.162569], [8.5148322, 47.1623309], [8.5149855, 47.1622569], [8.5151463, 47.1623977], [8.5151173, 47.1625607], [8.5151589, 47.1628568], [8.5149646, 47.1628655]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/255270071', 'properties': {'amenity': 'social_facility', 'name': 'Seniorenzentrum Mülimatt', 'operator': 'Bürgergemeinde Zug', 'social_facility': 'group_home', 'social_facility:for': 'senior', 'id': 'way/255270071'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5094126, 47.1458182], [8.5103478, 47.1468472], [8.5098044, 47.146981], [8.5088838, 47.1461268], [8.5094126, 47.1458182]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/263502770', 'properties': {'addr:city': 'Oberägeri', 'addr:housenumber': '6', 'addr:postcode': '6315', 'addr:street': 'Breiten', 'amenity': 'social_facility', 'building': 'yes', 'email': 'info@breiten-oberaegeri.ch', 'name': 'Zentrum Breiten Alters- und Pfflegehiem', 'operator': 'Bürgergemeinde Oberägeri', 'phone': '+41 41 754 76 00', 'social_facility': 'assisted_living', 'social_facility:for': 'Wohnen und Pflegen im Alter', 'website': 'https://www.breiten-oberaegeri.ch/', 'id': 'way/263502770'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.6243113, 47.1322564], [8.624252, 47.1321209], [8.6247417, 47.1320208], [8.6247704, 47.1320892], [8.6248184, 47.1320776], [8.6248739, 47.132208], [8.6247172, 47.1322389], [8.6247013, 47.1322015], [8.6245127, 47.1322363], [8.6245037, 47.1322197], [8.6243113, 47.1322564]]]}}"
