type,features
FeatureCollection,"{'type': 'Feature', 'id': 'way/4486412', 'properties': {'alt_name': 'Weinlandautobahn', 'highway': 'trunk', 'int_ref': 'E 41', 'lanes': '2', 'maxheight': 'default', 'maxspeed': '80', 'motorroad': 'yes', 'nat_name': 'N4', 'oneway': 'no', 'ref': 'A4;E41', 'source:maxspeed': 'sign', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4486412'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.6925359, 47.5356566], [8.6922187, 47.5370981], [8.6918562, 47.5387637], [8.6916847, 47.5395574], [8.6915172, 47.5403173], [8.6913746, 47.5409735], [8.6913188, 47.541229], [8.6913004, 47.5413091], [8.6912461, 47.5415594], [8.691187, 47.5418102], [8.6911355, 47.5420196], [8.6910812, 47.5422243], [8.6910256, 47.5424295], [8.6909681, 47.5426333], [8.6909098, 47.5428287], [8.6908473, 47.5430241], [8.6907818, 47.5432177], [8.690711, 47.5434104], [8.690634, 47.5436179], [8.690554, 47.5438234], [8.6904685, 47.5440295], [8.690423599999999, 47.5441313], [8.6903767, 47.5442336], [8.6902757, 47.5444508], [8.6901711, 47.5446716], [8.6899479, 47.5451069]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4542955', 'properties': {'alt_name': 'Weinlandautobahn', 'highway': 'trunk', 'int_ref': 'E 41', 'lanes': '2', 'maxspeed': '80', 'motorroad': 'yes', 'nat_name': 'N4', 'oneway': 'no', 'ref': 'A4;E41', 'source:maxspeed': 'sign', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4542955'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.6973948, 47.5280931], [8.6970882, 47.5282985], [8.696777, 47.5285013], [8.6966086, 47.5286175], [8.6964425, 47.5287375], [8.6962174, 47.5289055], [8.696, 47.5290795], [8.695859, 47.5291954], [8.6957213, 47.529312], [8.6955859, 47.5294315], [8.6954564, 47.5295514], [8.6953323, 47.5296666], [8.6952139, 47.5297814], [8.6950956, 47.5299012], [8.6949818, 47.5300221], [8.6948626, 47.5301506], [8.6947473, 47.5302789], [8.6946364, 47.5304071], [8.6945309, 47.5305349], [8.6943429, 47.5307726], [8.694247, 47.5309003], [8.6941588, 47.5310274], [8.6940723, 47.53115], [8.6939931, 47.5312726], [8.6939158, 47.5313958], [8.6938428, 47.5315176], [8.693702, 47.5317611], [8.6935724, 47.5320101], [8.6934553, 47.5322612], [8.6933448, 47.5325142], [8.693274, 47.5326961], [8.6932223, 47.5328412], [8.6931697, 47.5330036], [8.6930931, 47.5332382]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4578023', 'properties': {'destination:lanes': 'Transit;Schaffhausen-Nord;Rheinfall|Schaffhausen-Herblingen;Stetten;Dörflingen', 'highway': 'trunk', 'int_ref': 'E 41;E 54', 'lanes': '2', 'maxspeed': '80', 'motorroad': 'yes', 'nat_name': 'N4', 'old_name': 'H15', 'oneway': 'yes', 'placement': 'middle_of:1', 'ref': 'A4;E41;E54', 'shoulder': 'no', 'source:maxspeed': 'CH:rural', 'surface': 'asphalt', 'toll': 'no', 'turn:lanes': 'through|slight_right', 'id': 'way/4578023'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.662389, 47.7187852], [8.6614666, 47.718882]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4578024', 'properties': {'alt_name': 'Weinlandautobahn', 'bicycle': 'no', 'change:lanes': 'not_left|yes', 'foot': 'no', 'highway': 'trunk', 'int_ref': 'E 41', 'lanes': '2', 'layer': '-1', 'lit': 'yes', 'maxheight': 'default', 'maxspeed': '80', 'motorroad': 'yes', 'nat_name': 'N4', 'oneway': 'yes', 'overtaking:hgv': 'no', 'ref': 'A4;E41', 'source:maxspeed': 'sign', 'start_date': '1992', 'surface': 'asphalt', 'toll': 'yes', 'tunnel': 'yes', 'tunnel:name': 'Cholfirsttunnel', 'id': 'way/4578024'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.6280396, 47.690284], [8.6283867, 47.6901613], [8.6291695, 47.6898596], [8.6295567, 47.6897072], [8.629935, 47.6895373], [8.6305556, 47.6892275], [8.6311491, 47.6888766], [8.6315358, 47.6885928], [8.6319086, 47.6882972], [8.6322691, 47.6879871], [8.6325893, 47.6876544], [8.6328898, 47.6872895], [8.6332225, 47.6868085], [8.6333504, 47.6865793], [8.6334626, 47.6863249], [8.6335673, 47.6860856], [8.6336516, 47.6858396], [8.633732, 47.685597], [8.6337956, 47.6853326], [8.6338517, 47.6850782], [8.6338803, 47.6848038], [8.6339265, 47.6841301], [8.6339117, 47.6835752], [8.633853, 47.6828399], [8.6337867, 47.682161]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4578027', 'properties': {'change:lanes': 'no|no', 'hazard': 'deer', 'highway': 'trunk', 'int_ref': 'E 41;E 54', 'lanes': '2', 'maxheight': 'default', 'maxspeed': '80', 'motorroad': 'yes', 'nat_name': 'N4', 'old_name': 'H15', 'oneway': 'no', 'overtaking': 'no', 'ref': 'A4;E41;E54', 'source:maxspeed': 'CH:rural', 'surface': 'asphalt', 'toll': 'no', 'id': 'way/4578027'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.664316, 47.7187431], [8.6645704, 47.7187804], [8.6648414, 47.7188291], [8.6651378, 47.7189016], [8.665273, 47.7189413], [8.6653963, 47.7189773], [8.6655177, 47.7190165], [8.6656364, 47.7190581], [8.6657633, 47.7191063], [8.6658833, 47.7191561], [8.6660052, 47.7192082], [8.6661217, 47.7192634], [8.6662485, 47.7193271], [8.666371999999999, 47.7193918], [8.6665149, 47.7194747], [8.6666517, 47.7195593], [8.6667726, 47.7196419], [8.6668904, 47.7197265], [8.6670117, 47.7198219], [8.667128, 47.7199184], [8.6672637, 47.720045], [8.6673869, 47.7201748], [8.6675972, 47.7204316], [8.667683, 47.7205534], [8.6677629, 47.7206775], [8.6679016, 47.7209367], [8.6680149, 47.7211771], [8.6681102, 47.7214169], [8.6681632, 47.7215591], [8.6682089, 47.7217031], [8.6682548, 47.7218578], [8.6682966, 47.7220126], [8.6683773, 47.7223449], [8.6684059, 47.7224746], [8.6684324, 47.7226038], [8.6684804, 47.7228637], [8.6685034, 47.722985], [8.6685787, 47.723383], [8.668632, 47.7236835], [8.6686726, 47.7239136], [8.668781899999999, 47.724419], [8.668854, 47.7247419], [8.6689319, 47.7250639], [8.6690141, 47.7253866], [8.6690989, 47.7257064], [8.6691541, 47.7258962], [8.6692145, 47.7260856], [8.6692785, 47.7262549], [8.6693486, 47.7264242], [8.6694276, 47.7265924], [8.6695096, 47.7267602], [8.6695895, 47.7269085], [8.6696746, 47.7270553], [8.6697685, 47.7271985], [8.6698668, 47.7273404], [8.6699699, 47.7274825], [8.6700779, 47.7276241], [8.6702864, 47.7278718], [8.6704546, 47.7280542], [8.6705968, 47.7281981], [8.670745, 47.7283395], [8.6708472, 47.7284311], [8.6709521, 47.7285221], [8.671059, 47.7286119], [8.6711674, 47.7287], [8.6712765, 47.7287856], [8.671387, 47.7288699], [8.6717216, 47.7291123], [8.6720644, 47.729354], [8.6727492, 47.7298357], [8.6741224, 47.7307993], [8.6746414, 47.731175], [8.6748999, 47.7313646], [8.6751553, 47.7315556], [8.67541, 47.7317494], [8.6756601, 47.7319435], [8.6761554, 47.7323332], [8.6766628, 47.732746], [8.6771635, 47.7331602], [8.6777803, 47.7336827], [8.6784005, 47.7342014], [8.6789083, 47.734621], [8.6791628, 47.7348233], [8.6793999, 47.7349963], [8.6796417, 47.7351613], [8.6797634, 47.7352383], [8.6798901, 47.7353128], [8.6800182, 47.7353824], [8.6801482, 47.7354499], [8.6802814, 47.7355139], [8.680417, 47.7355748], [8.6805476, 47.7356303], [8.6806802, 47.7356832], [8.680822599999999, 47.7357355], [8.6809666, 47.7357832], [8.6811075, 47.7358257], [8.6812506, 47.7358666], [8.6814179, 47.73591], [8.681587799999999, 47.7359501], [8.6817554, 47.7359842], [8.6819219, 47.7360146], [8.682083, 47.7360378], [8.6822423, 47.7360571], [8.6823998, 47.736073], [8.6825607, 47.7360856], [8.682743, 47.7360959], [8.6829257, 47.7361027], [8.6831132, 47.7361057], [8.6833011, 47.7361038], [8.6835206, 47.736097], [8.6837299, 47.7360858], [8.68394, 47.7360719], [8.6841479, 47.7360555], [8.6844879, 47.7360247], [8.684821, 47.7359905], [8.68549, 47.7359191], [8.6858718, 47.7358836]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4578028', 'properties': {'bicycle': 'no', 'foot': 'no', 'highway': 'trunk', 'horse': 'no', 'int_ref': 'E 41;E 54', 'lanes': '1', 'layer': '-5', 'lit': 'yes', 'maxheight': 'default', 'maxspeed': '80', 'motorroad': 'yes', 'nat_name': 'N4', 'oneway': 'yes', 'overtaking': 'no', 'ref': 'A4;E41;E54', 'source:maxspeed': 'sign', 'start_date': '1996', 'surface': 'asphalt', 'toll': 'yes', 'tunnel': 'yes', 'tunnel:name': 'Fäsenstaubtunnel', 'id': 'way/4578028'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.629612999999999, 47.6998533], [8.6295703, 47.6998124], [8.6290065, 47.6991851], [8.6286755, 47.6988196], [8.6283568, 47.6984481], [8.6280397, 47.6980755], [8.6277394, 47.6976983], [8.6271624, 47.6969198], [8.626854, 47.6964446], [8.6264861, 47.6958352], [8.6261117, 47.6952238], [8.6257762, 47.6946461]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4578029', 'properties': {'destination:lanes': 'Stuttgart;Singen;Thayngen|Schaffhausen-Herblingen;Stetten;Dörflingen', 'highway': 'trunk', 'int_ref': 'E 41;E 54', 'lanes': '2', 'maxspeed': '80', 'motorroad': 'yes', 'nat_name': 'N4', 'old_name': 'H15', 'oneway': 'yes', 'placement': 'middle_of:1', 'ref': 'A4;E41;E54', 'toll': 'yes', 'turn:lanes': 'through|slight_right', 'id': 'way/4578029'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.6564068, 47.7182103], [8.6567418, 47.7183631], [8.6570048, 47.71847], [8.6572388, 47.7185542], [8.6574033, 47.7186058], [8.6575738, 47.7186585], [8.6577481, 47.7187074], [8.6579306, 47.7187519], [8.6580752, 47.718782], [8.6582373, 47.7188139], [8.6583964, 47.7188416], [8.6586647, 47.7188807]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4697924', 'properties': {'highway': 'trunk', 'lanes': '1', 'maxspeed': '100', 'motorroad': 'yes', 'oneway': 'yes', 'ref': 'H4', 'toll': 'yes', 'id': 'way/4697924'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.6427627, 47.7213641], [8.6435057, 47.7209205], [8.6441451, 47.7205193], [8.6444888, 47.7203052], [8.6450239, 47.7199794], [8.6450836, 47.7199252]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4697925', 'properties': {'bridge': 'yes', 'highway': 'trunk', 'lanes': '2', 'layer': '1', 'maxspeed': '100', 'motorroad': 'yes', 'ref': 'H4', 'toll': 'yes', 'id': 'way/4697925'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.63274, 47.7249665], [8.6330409, 47.7248508]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4697926', 'properties': {'highway': 'trunk', 'lanes': '2', 'maxspeed': '100', 'motorroad': 'yes', 'ref': 'H4', 'toll': 'yes', 'id': 'way/4697926'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.6330409, 47.7248508], [8.633484, 47.7246875], [8.6338616, 47.7245543], [8.6344014, 47.7243781], [8.6349197, 47.7242169], [8.6380036, 47.7233429], [8.6386334, 47.7231573], [8.63925, 47.7229613], [8.6397508, 47.7227924], [8.6403434, 47.7225724]]}}"
