type,features
FeatureCollection,"{'type': 'Feature', 'id': 'relation/11067217', 'properties': {'addr:city': 'Thayngen', 'addr:country': 'CH', 'addr:housenumber': '12', 'addr:postcode': '8240', 'addr:street': 'Hammenweg', 'amenity': 'school', 'building': 'yes', 'name': 'Hammenschulhaus', 'type': 'multipolygon', 'id': 'relation/11067217'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7105672, 47.7495908], [8.710685999999999, 47.7495678], [8.7107053, 47.7496129], [8.7107691, 47.7496005], [8.7107498, 47.7495555], [8.7108647, 47.7495333], [8.7108842, 47.7495789], [8.7109462, 47.7495669], [8.7109267, 47.7495213], [8.7110446, 47.7494985], [8.7110633, 47.7495439], [8.7111427, 47.7495298], [8.71115, 47.7495473], [8.7111582, 47.7495668], [8.711143, 47.7495699], [8.7111699, 47.7496322], [8.7112274, 47.7496211], [8.7112203, 47.7496014], [8.7112986, 47.7495867], [8.7113026, 47.7495965], [8.7113946, 47.7498212], [8.7113011, 47.7498327], [8.7112737, 47.7497676], [8.7112965, 47.7497634], [8.7112789, 47.7497307], [8.7112168, 47.7497437], [8.7112379, 47.7497953], [8.7107003, 47.749899], [8.7105672, 47.7495908]], [[8.71132, 47.7496517], [8.7113105, 47.7496275], [8.7112458, 47.749639], [8.7112552, 47.7496631], [8.71132, 47.7496517]], [[8.7112825, 47.7497271], [8.7113473, 47.7497144], [8.7113365, 47.7496895], [8.7112717, 47.7497022], [8.7112825, 47.7497271]], [[8.711094899999999, 47.7497602], [8.7110812, 47.7497278], [8.7110234, 47.7497389], [8.7110372, 47.7497713], [8.711094899999999, 47.7497602]], [[8.7110692, 47.7496964], [8.7110546, 47.7496623], [8.7109941, 47.7496739], [8.7110087, 47.749708], [8.7110692, 47.7496964]], [[8.7110422, 47.7496333], [8.7110284, 47.7496009], [8.7109684, 47.7496125], [8.7109822, 47.7496449], [8.7110422, 47.7496333]], [[8.7108652, 47.7496688], [8.7108507, 47.7496346], [8.7107896, 47.7496463], [8.7108042, 47.7496805], [8.7108652, 47.7496688]], [[8.7108898, 47.7497303], [8.7108758, 47.7496972], [8.7108166, 47.7497086], [8.7108306, 47.7497417], [8.7108898, 47.7497303]], [[8.7108582, 47.7498063], [8.7109192, 47.7497946], [8.710905, 47.7497612], [8.710844, 47.749772899999996], [8.7108582, 47.7498063]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/10000758', 'properties': {'addr:city': 'Stein am Rhein', 'addr:country': 'CH', 'addr:housenumber': '1', 'addr:postcode': '8260', 'addr:street': 'Oehningerstrasse', 'amenity': 'school', 'building': 'yes', 'name': 'Primarschule Schanz', 'phone': '+41 52 741 21 30', 'url': 'http://www.schuleschanz.ch/', 'id': 'way/10000758'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.8612648, 47.6597121], [8.8613099, 47.6595789], [8.8616223, 47.6596268], [8.8615773, 47.6597604], [8.8612648, 47.6597121]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/13067534', 'properties': {'amenity': 'school', 'building': 'yes', 'name': 'Primarschule', 'id': 'way/13067534'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5611423, 47.5716917], [8.5611413, 47.5715122], [8.5615239, 47.5715113], [8.5615237, 47.5714747], [8.5619608, 47.5714737], [8.5619622, 47.5717428], [8.5614853, 47.571744], [8.561485, 47.5716909], [8.5611423, 47.5716917]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/22952170', 'properties': {'addr:city': 'Stein am Rhein', 'addr:country': 'CH', 'addr:housename': 'Lagerhus', 'addr:housenumber': '6', 'addr:postcode': '8260', 'addr:street': 'Chlini Schanz', 'amenity': 'school', 'building': 'yes', 'name': 'Primarschule/Kindergarten Schanz', 'phone': '+41 52 741 55 26', 'roof:shape': 'gabled', 'source': 'survey, bing', 'wheelchair': 'yes', 'id': 'way/22952170'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.8606916, 47.6603188], [8.8606977, 47.6603111], [8.8606989, 47.6603116], [8.8607595, 47.6602379], [8.8607584, 47.6602375], [8.8607651, 47.6602291], [8.8607754, 47.6602332], [8.8607825, 47.6602254], [8.8608038, 47.6602328], [8.8608093, 47.660235], [8.8608017, 47.6602446], [8.8610551, 47.6603392], [8.861056, 47.6603379], [8.861067, 47.6603418], [8.8609939, 47.660432], [8.8609815, 47.6604273], [8.8609829, 47.6604262], [8.8607036, 47.6603221], [8.8607028, 47.6603231], [8.8606916, 47.6603188]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/26661360', 'properties': {'amenity': 'school', 'name': 'Schule Beringen', 'note': 'FIXME: inaccurate', 'id': 'way/26661360'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5764635, 47.7010106], [8.5759583, 47.7021519], [8.5754161, 47.7020511], [8.5756751, 47.7013624], [8.5753942, 47.7010861], [8.5747671, 47.7009707], [8.5749059, 47.7006679], [8.57507, 47.7005333], [8.5752881, 47.7004637], [8.5753844, 47.7004753], [8.575519, 47.7004915], [8.575786, 47.700532], [8.5756488, 47.7008414], [8.5763206, 47.7009763], [8.5764635, 47.7010106]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/36780841', 'properties': {'addr:city': 'Neuhausen am Rheinfall', 'addr:housename': 'Schulhaus Rosenberg', 'addr:housenumber': '2', 'addr:street': 'Einschlagstrasse', 'amenity': 'school', 'building': 'school', 'building:levels': '4', 'fax': '+41 52 672 20 27', 'height': '16', 'name': 'Rosenbergschulhaus', 'phone': '+41 52 672 20 29', 'start_date': '1912', 'website': 'http://www.schule-neuhausen.ch/', 'id': 'way/36780841'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.6184336, 47.6851852], [8.6186048, 47.6850939], [8.6186249, 47.6851109], [8.618693, 47.6850746], [8.6188066, 47.6851709], [8.6188949, 47.6852459], [8.6188857, 47.6852511], [8.6192113, 47.6855276], [8.6192235, 47.685521], [8.619324, 47.6856063], [8.6192448, 47.6856486], [8.6191229, 47.6857136], [8.6190027, 47.6856211], [8.618932, 47.6856562], [8.6186428, 47.6853877], [8.6186524, 47.6853823], [8.6186623, 47.6853767], [8.6184336, 47.6851852]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/36780842', 'properties': {'addr:city': 'Neuhausen am Rheinfall', 'addr:housenumber': '13', 'addr:street': 'Rheingoldstrasse', 'amenity': 'school', 'building': 'school', 'building:colour': 'lightgray', 'building:levels': '4', 'height': '16', 'name': 'Schulhaus Kirchacker', 'roof:colour': 'brown', 'roof:height': '5', 'roof:levels': '1', 'roof:orientation': 'along', 'roof:shape': 'hipped', 'start_date': '1898', 'survey:date': '2014-12-21', 'id': 'way/36780842'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.6211671, 47.6810141], [8.621014, 47.6809114], [8.6210253, 47.6809038], [8.6209861, 47.6808775], [8.6208311, 47.6807734], [8.6209289, 47.6807074], [8.6209489, 47.6806939], [8.6210262, 47.6806417], [8.6211255, 47.6807083], [8.6211313, 47.6807045], [8.6211995, 47.6807503], [8.6212687, 47.6807967], [8.6212629, 47.6808006], [8.6213734, 47.6808747], [8.6211787, 47.6810063], [8.6211671, 47.6810141]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/40456669', 'properties': {'amenity': 'school', 'name': 'Primarschule Schanz', 'id': 'way/40456669'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.8612444, 47.6594691], [8.8612649, 47.6594579], [8.8612886, 47.6594485], [8.861317, 47.6594414], [8.8613468, 47.6594374], [8.8613695, 47.6594369], [8.861392, 47.6594389], [8.8614057, 47.659440000000004], [8.8614102, 47.6594246], [8.8617152, 47.6594732], [8.8618272, 47.659491], [8.8619449, 47.6595308], [8.8619696, 47.6595352], [8.8619953, 47.6595426], [8.8620453, 47.659565], [8.8620573, 47.6595797], [8.8620789, 47.6596158], [8.8620662, 47.6596559], [8.8620406, 47.6596946], [8.8619624, 47.6597609], [8.8619042, 47.65976], [8.8617269, 47.6598912], [8.861715, 47.6599], [8.8616691, 47.659934], [8.8616593, 47.6599412], [8.8614898, 47.6600675], [8.8614619, 47.6601022], [8.8614922, 47.6601207], [8.8614935, 47.6601236], [8.8614917, 47.6601266], [8.8614879, 47.660128], [8.8614838, 47.6601276], [8.8614519, 47.6601147], [8.8612921, 47.6603143], [8.861111, 47.6604813], [8.8609927, 47.6604349], [8.8606167, 47.6602954], [8.8607371, 47.6601506], [8.8608719, 47.6599909], [8.8608946, 47.6599638], [8.8609281, 47.6599212], [8.8609534, 47.6598863], [8.8609779, 47.6598501], [8.8610217, 47.6597834], [8.8611948, 47.6595221], [8.8612444, 47.6594691]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/41887619', 'properties': {'addr:city': 'Rüdlingen', 'addr:country': 'CH', 'addr:housenumber': '5', 'addr:postcode': '8455', 'addr:street': 'Schuelgässli', 'amenity': 'school', 'building': 'yes', 'name': 'Dorfschulhaus', 'id': 'way/41887619'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5716589, 47.5775008], [8.5718765, 47.5775016], [8.5718755, 47.5776284], [8.5718438, 47.5776283], [8.5718436, 47.5776508], [8.5717457, 47.5776505], [8.5717459, 47.5776279], [8.5716579, 47.5776276], [8.5716589, 47.5775008]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/48435567', 'properties': {'amenity': 'school', 'building': 'yes', 'source': 'yahoo aerial images', 'id': 'way/48435567'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5667361, 47.5785241], [8.56709, 47.5783163], [8.5670689, 47.5782999], [8.5673987, 47.5781062], [8.5674157, 47.5781194], [8.5674804, 47.5780813], [8.5674609, 47.5780662], [8.5675415, 47.5780188], [8.5676117, 47.5780731], [8.5675897, 47.5780861], [8.5676644, 47.5781438], [8.5673906, 47.5783052], [8.5673214, 47.5782518], [8.567287199999999, 47.578272], [8.5672963, 47.578279], [8.5671546, 47.5783629], [8.5672515, 47.5784374], [8.5668995, 47.5786459], [8.5668243, 47.5785881], [8.5667855, 47.5786111], [8.5667691, 47.578612], [8.566752900000001, 47.5786065], [8.566746, 47.5785957], [8.5667469, 47.5785851], [8.5667857, 47.5785619], [8.5667361, 47.5785241]]]}}"
